1440;3;6;1254;1
1440;6;1;1469;1
1440;6;6;1053;1
1470;4;1;1082;1
1470;4;6;1099;1
1470;7;1;2549;2
1470;7;6;2354;2
1470;5;1;1333;1
1470;5;6;1101;1
1470;6;1;1198;1
1470;6;6;1170;1
1470;1;1;2786;2
1470;1;6;2610;2
1470;2;1;1324;1
1470;2;6;1315;1
1500;7;1;2404;2
1500;7;6;2519;2
1500;3;1;1172;1
1500;3;6;1130;1
1500;1;1;1110;1
1500;1;6;1049;1
1500;4;1;1096;1
1500;4;6;1321;1
1530;7;1;4898;4
1530;7;6;4798;4
1530;3;1;2336;2
1530;3;6;2402;2
1530;5;1;1303;1
1530;5;6;1243;1
1530;1;1;958;1
1530;1;6;1251;1
1530;4;1;1155;1
1530;4;6;1250;1
1560;2;1;2753;2
1560;2;6;2336;2
1560;4;1;1029;1
1560;4;6;1132;1
1560;3;1;1370;1
1560;3;6;1385;1
1590;1;1;2349;2
1590;1;6;2474;2
1590;5;1;1177;1
1590;5;6;1197;1
1590;7;1;1054;1
1590;7;6;1331;1
1590;2;1;1164;1
1590;2;6;966;1
1590;4;1;2350;2
1590;4;6;2692;2
1590;3;1;1247;1
1590;3;6;1287;1
1590;6;1;957;1
1590;6;6;1374;1
1620;8;1;1210;1
1620;8;6;1453;1
1620;5;1;4292;4
1620;5;6;4825;4
1620;1;1;2382;2
1620;1;6;2313;2
1620;7;1;958;1
1620;7;6;1463;1
1650;8;1;3731;3
1650;8;6;3545;3
1650;3;1;1313;1
1650;3;6;1427;1
1650;4;1;2311;2
1650;4;6;2858;2
1650;7;1;1184;1
1650;7;6;1266;1
1650;5;1;1175;1
1650;5;6;1230;1
1680;7;1;2075;2
1680;7;6;2292;2
1680;5;1;1027;1
1680;5;6;1264;1
1680;4;1;2580;2
1680;4;6;2228;2
1680;6;1;1444;1
1680;6;6;1249;1
1680;8;1;1196;1
1680;8;6;1131;1
1680;3;1;1081;1
1680;3;6;1070;1
1710;8;1;2297;2
1710;8;6;2356;2
1710;1;1;1121;1
1710;1;6;1200;1
1710;3;1;1409;1
1710;3;6;1395;1
1710;4;1;1235;1
1710;4;6;1262;1
1710;7;1;1381;1
1710;7;6;1288;1
1710;5;1;2377;2
1710;5;6;2055;2
1740;3;1;1308;1
1740;3;6;1418;1
1740;5;1;3972;3
1740;5;6;3517;3
1740;7;1;3599;3
1740;7;6;3413;3
1740;1;1;1042;1
1740;1;6;1087;1
1770;8;1;2713;2
1770;8;6;2420;2
1770;5;1;1215;1
1770;5;6;947;1
1770;3;1;968;1
1770;3;6;1159;1
1800;3;1;4429;4
1800;3;6;5006;4
1800;6;1;1155;1
1800;6;6;1229;1
1800;1;1;1083;1
1800;1;6;1079;1
1800;5;1;1472;1
1800;5;6;1427;1
1800;7;1;1174;1
1800;7;6;1320;1
0;7;1;26523;22
0;7;6;27381;22
0;2;1;19655;17
0;2;6;21503;17
0;3;1;21095;18
0;3;6;21998;18
0;5;1;10221;9
0;5;6;10849;9
0;4;1;24633;21
0;4;6;26357;21
0;1;1;19176;16
0;1;6;19611;16
0;8;1;8289;7
0;8;6;8601;7
0;6;1;2309;2
0;6;6;2668;2
30;3;1;13006;10
30;3;6;11750;10
30;2;1;6584;5
30;2;6;5685;5
30;4;1;23929;20
30;4;6;24022;20
30;8;1;10385;8
30;8;6;9608;8
30;6;1;4883;4
30;6;6;5122;4
30;7;1;9641;8
30;7;6;9377;8
30;1;1;16926;14
30;1;6;17413;14
30;5;1;6505;5
30;5;6;5661;5
60;4;1;10445;9
60;4;6;10739;9
60;7;1;24483;20
60;7;6;24510;20
60;3;1;27889;23
60;3;6;28268;23
60;5;1;5559;4
60;5;6;5094;4
60;2;1;5647;5
60;2;6;5894;5
60;1;1;14248;12
60;1;6;14200;12
60;8;1;3447;3
60;8;6;3740;3
60;6;1;2442;2
60;6;6;2293;2
90;8;1;11330;9
90;8;6;10872;9
90;7;1;37224;31
90;7;6;38098;31
90;3;1;25076;20
90;3;6;23167;20
90;2;1;20296;17
90;2;6;21066;17
90;4;1;20899;16
90;4;6;18418;16
90;1;1;28100;23
90;1;6;28471;23
90;6;1;10595;9
90;6;6;10104;9
90;5;1;5070;4
90;5;6;5044;4
120;3;1;27944;23
120;3;6;26970;23
120;4;1;44134;36
120;4;6;45217;36
120;8;1;26371;21
120;8;6;27244;21
120;7;1;30755;25
120;7;6;31341;25
120;2;1;7585;6
120;2;6;7185;6
120;1;1;26773;22
120;1;6;26015;22
120;5;1;7630;6
120;5;6;7167;6
120;6;1;2503;2
120;6;6;2435;2
150;7;1;30458;26
150;7;6;31170;26
